pool_address,pool_name,token0_address,token0_symbol,token0_decimals,token1_address,token1_symbol,token1_decimals,tvl_usd
0xd19369149882428eedaffab4a33f313e62065bef,TOFI-SLP,0x848e442f2d275fe1de90946a494ac3cf1a196956,TOFI,0,0xac262fb0dff154397c045fa68030931f18263efb,SLP,18,0
0xd074d43d141b5388bebd0339e6996d35fa11f568,CRV-AMIS,0x712b3d230f3c1c19db860d80619288b1f0bdd0bd,CRV,18,0xd51e1ddd116fff9a71c1b8feeb58113afa2b4d93,AMIS,9,0
0xceb6b1e623d919f8d9244efc80ccb48c4dd1a727,rkl-SLP,0x2df5912439d2d14d04a7742346508505288ef367,rkl,18,0x558d221a5dfb9a2a60f7341695af485105433150,SLP,18,0
0xceaa098b20e5fe835bae4967c163b959dbd749fd,HONTST-WXDAI,0x4ab3ec6c15cafc944c6e3c7df0e2d4ccb0f3416d,HONTST,18,0xe91d153e0b41518a2ce8dd3d7944fa863463a97d,WXDAI,18,0
0xce7492de829941aa21a29e8b05c1b4965fe4d7d9,$BASED-WXDAI,0x7a9c5df99825e0ba7e895aa5561408e432f9f1f9,$BASED,18,0xe91d153e0b41518a2ce8dd3d7944fa863463a97d,WXDAI,18,0
0xcb920a585d1aa6dabacca7860d477dd93666a7dd,DTT1-WXDAI,0x49ae0881e47e3ed22d3fde2702c8f447918b77f5,DTT1,17,0xe91d153e0b41518a2ce8dd3d7944fa863463a97d,WXDAI,18,0
0xc9029929c8668422a7f389a44693e8902674ee0d,BAO-BTCCB,0x82dfe19164729949fd66da1a37bc70dd6c4746ce,BAO,18,0xb2ae7983a8142401d45546aab981e5fbff520991,BTCCB,18,0
0xc36328156bb8ac4f405b68fc0bff19479e8f3f97,FTRACK-WXDAI,0x16b81c5c59b1c154a40c7a03d6f9ec68d5f6412f,FTRACK,18,0xe91d153e0b41518a2ce8dd3d7944fa863463a97d,WXDAI,18,0
0xc30564beb7144a944e47f4a8c5ca45c6329fc9f3,NJV-WXDAI,0xa1265493aa2a06cbc89bd4050dc5a79590951505,NJV,18,0xe91d153e0b41518a2ce8dd3d7944fa863463a97d,WXDAI,18,0
0xc19a683236c645ed3ccd41a990ec0db1009635bd,SNX-AMIS,0x3a00e08544d589e19a8e7d97d0294331341cdbf6,SNX,18,0xd51e1ddd116fff9a71c1b8feeb58113afa2b4d93,AMIS,9,0
0xc18263bc7ae178efbb445dc19bb07a5fd239f1d8,GAMB-TECH,0x9e255fe1176dce5ff5bca87c0e97ede31c40f4d0,GAMB,18,0xb7d918d7631fcdd0954205e3a6b205a10a31a085,TECH,18,0
0xc11ad748727c21754182aaef11d12a03bbebda98,DAI-ETH,0xbc78c3a50eb3388ff547d043471186a055e20522,DAI,18,0xd27aeef88dfc40c7fb297269734d97fc0cca5b4a,ETH,18,0
0xbdc37335c2072abd1b9085c9ba3c5b75d9fc8e36,YFI-AMIS,0xbf65bfcb5da067446cee6a706ba3fe2fb1a9fdfd,YFI,18,0xd51e1ddd116fff9a71c1b8feeb58113afa2b4d93,AMIS,9,0
0xbd6a2fce56449aeeeddf02ecddab0f6271200e41,SLP-SLP,0x829370ce56764326dde44a48d71da09ce8c2f2d8,SLP,18,0xeb034dc4e260a688ae0890462e487da50ed63aa9,SLP,18,0
0xbce5afaf114a367db2ca6104ccfe045da654bd84,xSUSHI-AMIS,0x726f66bbdaf5dc0d66caddc24da13c3e9301fc2a,xSUSHI,18,0xd51e1ddd116fff9a71c1b8feeb58113afa2b4d93,AMIS,9,0
0xbba341efc430c641c16de4940b8eab1cfdc4abfe,DAIX-STAKE,0x4ef1d9a329a0cb0658156aff55c406cc4393a987,DAIX,18,0xb7d311e2eb55f2f68a9440da38e7989210b9a05e,STAKE,18,0.002746238
0xb838b39f4ce64e0718081fa71f3e1e28c44c5965,AGVE-HNY,0x3a97704a1b25f08aa230ae53b352e2e72ef52843,AGVE,18,0x71850b7e9ee3f13ab46d67167341e4bdc905eef9,HNY,18,0
0xb75761b5d726c3199f430438e114fbb01d32b20f,MNT-VNDM,0x2db1baf757cde8eccd6d8cc4a9bee1cb9783afb2,MNT,9,0xaf074b43e8a8e5ea8555a32341fc32f74060c42b,VNDM,9,0
0xb60a083ed88d31e45a11675c4760ee6eaa63005e,WBTC-NCR,0x8e5bbbb09ed1ebde8674cda39a0c169401db4252,WBTC,8,0xe7f5f654c57236a651f576155c63428432d03943,NCR,18,0
0xb35edf224509b9bd920a056e9db11f62aa53f26d,renBTC-STAKE,0x4a88248baa5b39bb4a9caa697fb7f8ae0c3f0ddb,renBTC,8,0xb7d311e2eb55f2f68a9440da38e7989210b9a05e,STAKE,18,0.313330915
0xb00ca661f84291d779203e2c4b24664f928daae5,AMIS-HEX,0xd51e1ddd116fff9a71c1b8feeb58113afa2b4d93,AMIS,9,0xd9fa47e33d4ff7a1aca489de1865ac36c042b07a,HEX,8,0
0xaeda258ff64f2214e6082047e381dcfc96ec9077,USDT-USDC,0xc90132d5d1b87730da162ec9cd34885828769cc3,USDT,18,0xd10cc63531a514bba7789682e487add1f15a51e2,USDC,18,0
0xaaeae287fba9865ce212f815972d4bbf71538c40,RDT-MNT,0x012ad5cced21f7209feb623d318247955796d993,RDT,9,0x2db1baf757cde8eccd6d8cc4a9bee1cb9783afb2,MNT,9,0
0xa685f0a27f9305cd4678103d7b3e67db447ae946,WETH-GRT,0x6a023ccd1ff6f2045c3309768ead9e68f978f6e1,WETH,18,0xfadc59d012ba3c110b08a15b7755a5cb7cbe77d7,GRT,18,0
0xa6397cb406d7a42cef2747892b4a26652b15e5b8,HUSD-AMIS,0x1e37e5b504f7773460d6eb0e24d2e7c223b66ec7,HUSD,8,0xd51e1ddd116fff9a71c1b8feeb58113afa2b4d93,AMIS,9,0
0xa2b44c33814ff1102f89f18e23c7775ed92454d3,UNI-FLOF,0x4537e328bf7e4efa29d05caea260d7fe26af9d74,UNI,18,0x4a59ad9993d763b6125a52dac5a44f4ae570e793,FLOF,18,0
0xa26c6060ece92fdf740a364de9e807b6a50e75c8,AMIS-AAVE,0xd51e1ddd116fff9a71c1b8feeb58113afa2b4d93,AMIS,9,0xdf613af6b44a31299e48131e9347f034347e2f00,AAVE,18,0
